GISJOIN,YEAR,STUSAB,STATE,GEO_ID,TL_GEO_ID,NAME_E,AQNFE001,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,AQPKE001,AQPKE002,AQPKE003,AQPKE004,AQPKE005,AQPKE006,AQPKE007,AQPKE008,AQPKE009,AQPKE010,AQPKE011,AQPKE012,AQPKE013,AQPKE014,AQPKE015,AQPKE016,AQPKE017,AQPKE018,AQPKE019,AQPKE020,AQPKE021,AQPKE022,AQPKE023,AQPKE024,AQPKE025,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,AQP6E001,AQRAE001,NAME_M,AQNFM001,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010,AQPKM001,AQPKM002,AQPKM003,AQPKM004,AQPKM005,AQPKM006,AQPKM007,AQPKM008,AQPKM009,AQPKM010,AQPKM011,AQPKM012,AQPKM013,AQPKM014,AQPKM015,AQPKM016,AQPKM017,AQPKM018,AQPKM019,AQPKM020,AQPKM021,AQPKM022,AQPKM023,AQPKM024,AQPKM025,AQPZM001,AQPZM002,AQPZM003,AQPZM004,AQPZM005,AQPZM006,AQPZM007,AQPZM008,AQP6M001,AQRAM001
G240,2018-2022,MD,Maryland,0400000US24,24,Maryland,6161707,6161707,3154247,1841926,18343,399736,3120,355402,388933,153723,235210,4260095,68023,1025,733,1820,4018,7151,6261,9774,24222,12826,26571,41958,51877,54411,73247,885579,127145,259289,513329,292090,952916,590587,135879,119364,6034320,277146,281421,163512,175627,246875,118126,4771613,98461,49865,Maryland,,,6642,4946,1354,3192,847,7838,7638,5688,5653,713,2126,203,198,462,624,820,885,832,1375,905,1343,2063,2116,2180,2027,9102,3226,4456,6742,4077,8816,6784,2988,2935,1972,7435,8519,6205,7074,8103,5633,16373,511,225
G250,2018-2022,MA,Massachusetts,0400000US25,25,Massachusetts,6984205,6984205,5075525,498785,14740,487600,2766,347501,557288,322753,234535,4920101,86614,1036,1190,2443,4752,8942,13514,13046,23944,15094,39401,42972,53235,50555,74849,990524,137375,245835,481089,374880,1234320,717317,153045,154129,6772292,321588,350773,191274,192300,270766,119866,5325725,96505,53513,Massachusetts,,,7921,5555,1295,2847,450,8330,7733,7874,5334,756,2940,231,326,446,648,994,959,1101,1407,1214,2129,2181,2303,2073,2549,9643,3140,4224,6445,5261,7970,7745,3041,3553,1548,7357,9404,6011,6699,7462,4696,16148,551,287
G260,2018-2022,MI,Michigan,0400000US26,26,Michigan,10057921,10057921,7617085,1363539,45662,327551,2780,157999,543305,209757,333548,6938439,83826,995,1424,1136,1882,4445,3636,7737,16663,12509,46277,55118,99944,122408,114402,1694166,276452,535510,1025808,673750,1311608,627217,132170,89356,9845242,599404,693760,379766,398489,577047,257947,6938829,68505,37929,Michigan,,,6890,6271,1658,2592,385,5095,8232,5398,6930,959,2311,199,245,267,358,459,494,789,1195,961,1884,1983,2489,3273,2222,10824,3785,5818,7739,6692,8062,7482,2421,2300,1606,9311,9457,7252,6792,9756,6298,21095,307,155
G270,2018-2022,MN,Minnesota,0400000US27,27,Minnesota,5695292,5695292,4537219,382082,51434,286146,2324,133098,302989,102874,200115,3874392,54955,835,576,975,1260,1890,2303,2998,10827,4087,22842,20483,30277,38392,50525,800667,117428,254016,527184,452032,965593,364292,89655,60300,5574039,234670,281614,169383,180739,261749,118549,4327335,84313,44947,Minnesota,,,4806,3667,1537,2248,324,4429,6104,3896,4498,1010,2054,226,167,202,366,338,378,494,977,546,1060,1218,1262,1270,1546,5851,2160,2936,5165,4150,6423,4506,2388,1973,1507,5868,6375,5138,5547,5343,4150,11125,348,204
G280,2018-2022,MS,Mississippi,0400000US28,28,Mississippi,2958846,2958846,1685024,1101836,12777,29041,1200,41764,87204,29813,57391,1968322,28501,371,191,460,978,2739,2953,4293,10746,11894,28120,35602,48884,58851,36516,468731,118051,122570,308683,209117,286132,131671,30003,22265,2858819,247837,300967,164395,154566,202194,92301,1696559,52985,29209,Mississippi,,,2428,2857,859,981,432,2450,3402,2317,2541,1672,1617,127,94,268,288,507,558,578,853,989,1317,1893,2297,2316,1845,6021,3357,3609,5568,3683,5005,3059,1544,1645,1158,6333,6907,5213,5719,5907,4739,11976,527,294
G290,2018-2022,MO,Missouri,0400000US29,29,Missouri,6154422,6154422,4884165,693892,17559,127044,8831,91703,331228,134401,196827,4199109,40330,913,620,506,1102,1920,1942,2929,8477,8499,47142,43718,67764,75271,63830,1087681,192752,306712,591834,345329,804597,370034,80507,54700,5979440,341207,425375,244328,260391,368744,167145,4172250,65920,36754,Missouri,,,5123,3450,990,1794,523,4077,6239,4787,3849,1531,1792,191,191,177,259,350,304,441,776,707,1704,1855,2423,2283,2246,9210,2958,4466,5944,5237,7814,5448,2257,1966,1650,7576,7739,6796,7818,9454,5351,15625,361,192
G300,2018-2022,MT,Montana,0400000US30,30,Montana,1091840,1091840,943827,6026,63493,9211,681,11592,57010,19231,37779,758200,3363,25,49,52,37,202,204,301,660,635,6913,4221,7438,8844,8937,175154,35784,54030,121486,72238,170549,59333,15762,11983,1066145,57533,74796,46341,45954,70168,31337,740016,66341,37837,Montana,,,1994,642,1185,560,274,1402,1820,1467,1318,634,459,22,39,44,33,81,90,123,179,181,648,407,696,703,763,2910,1417,1724,2587,2331,2937,1821,1125,903,564,2714,2861,2628,2561,3275,2245,5420,748,460
G310,2018-2022,NE,Nebraska,0400000US31,31,Nebraska,1958939,1958939,1603239,93555,18550,48874,1318,69315,124088,63635,60453,1283285,21604,294,423,341,1074,1762,1282,1468,7770,2457,9737,9999,12258,15913,17915,280742,45131,98332,186066,139287,280101,106137,25032,18160,1908613,87374,111092,75301,73698,112591,49511,1399046,71722,38585,Nebraska,,,2656,1741,1143,1114,338,3006,4127,2968,2110,578,1469,141,151,156,254,365,298,292,791,396,685,670,826,1023,900,3201,1501,1904,3035,2248,3367,2520,1213,917,865,3344,3789,3873,2986,3403,2711,6572,577,300
G320,2018-2022,NV,Nevada,0400000US32,32,Nevada,3104817,3104817,1732783,290223,40745,263063,21884,360620,395499,234103,161396,2154487,45599,740,797,1359,2809,4877,3532,6074,27620,6165,17563,25748,29390,38754,67488,503894,90629,166932,356289,186225,371761,139842,37727,22673,3063729,186512,202944,129917,141959,191378,90377,2120642,71646,37945,Nevada,,,7417,3521,2239,2475,919,6110,7231,6721,4706,512,1719,207,227,418,501,515,510,678,1515,622,1144,1527,1461,1838,2518,5707,2941,3234,4959,3260,5489,3255,1584,1396,1385,5454,6545,4946,6409,6044,4514,10813,495,252
G330,2018-2022,NH,New Hampshire,0400000US33,33,New Hampshire,1379610,1379610,1241594,20920,2070,36352,348,15009,63317,29967,33350,997353,7152,304,275,142,401,487,399,437,1611,1884,7136,7348,11963,10593,11592,229881,41093,60160,114506,100541,236189,116378,19939,16942,1340074,47190,50972,31829,35706,56308,27303,1090766,90845,48250,New Hampshire,,,2540,1078,384,969,197,1441,2709,2409,1545,505,843,118,135,112,154,186,147,158,308,559,836,723,1021,851,792,3899,1467,1954,2663,2252,4115,2602,1198,938,588,2170,2251,1972,2253,3169,1954,5225,966,430
G340,2018-2022,NJ,New Jersey,0400000US34,34,New Jersey,9249063,9249063,5528604,1213265,29780,913364,2554,768606,792890,536450,256440,6427003,109116,1992,1609,2619,5822,12946,15062,18756,54420,17480,56907,52832,64204,71135,116841,1511209,163416,337867,667139,430063,1636308,785250,182433,111577,9081112,401555,477624,258799,275396,390311,173298,7104129,97126,50995,New Jersey,,,12036,6398,2441,3807,440,11844,12698,10928,6884,639,3331,396,345,450,680,1220,1194,1447,2538,1494,2294,2336,2268,2430,3138,13477,3938,5307,6928,5231,11357,9029,3506,2597,1827,9817,11830,7828,9269,11470,6582,21656,605,277
G350,2018-2022,NM,New Mexico,0400000US35,35,New Mexico,2112463,2112463,1250614,44894,198140,34400,1849,233978,348588,278356,70232,1433908,20560,312,213,811,1888,5135,2435,3771,20856,5567,14544,23713,26484,34184,24186,305319,66748,91421,240172,128685,230705,131594,26832,27773,2070966,172487,206164,116923,107431,140570,60358,1267033,58722,32667,New Mexico,,,8106,1437,2279,1028,431,6431,6966,7111,3114,1097,1205,135,101,286,447,692,382,408,1584,560,1056,1334,1397,1589,1306,4161,2234,2537,4103,3035,3683,2833,1188,1423,1038,5796,5988,4674,4933,5587,3491,9043,581,256
G360,2018-2022,NY,New York,0400000US36,36,New York,19994379,19994379,11749652,3011116,93384,1767598,9120,1878496,1485013,883505,601508,14021808,356478,5300,4404,7569,13213,31343,29568,57416,134433,50355,156749,165834,189350,210925,327850,2933147,561245,682351,1426247,1238616,3033763,1731771,435559,238322,19516967,1277497,1378165,739054,710635,983262,439371,13988983,81386,47173,New York,,,14482,11329,3470,4880,1016,20691,17432,14202,9910,1186,6600,517,526,908,1021,1740,1807,2509,3263,2357,3248,4875,3779,4466,5993,19033,6673,7633,11699,9812,16042,13297,6035,4643,2775,16542,17718,12675,12847,15565,11060,38705,350,209
G370,2018-2022,NC,North Carolina,0400000US37,37,North Carolina,10470214,10470214,6800458,2192455,109600,325670,6948,421954,613129,278960,334169,7172112,94221,1710,1527,2297,5199,11370,8644,16449,47563,25910,71663,111133,133380,127681,99392,1505077,299329,449128,1010992,720557,1533552,648712,139534,107092,10186155,612228,745190,455962,469352,650197,283680,6969546,66186,37641,North Carolina,,,6981,6342,1885,2322,613,8590,9469,7092,7334,1556,2819,356,314,408,710,1034,969,1275,2315,1426,2751,3820,3806,3419,2568,11448,4715,5927,9686,7408,11611,8235,3589,3004,2180,11139,13186,10151,10311,10964,7539,25620,380,188
G380,2018-2022,ND,North Dakota,0400000US38,38,North Dakota,776874,776874,656425,25233,36284,12474,1459,10705,34294,10445,23849,506256,4491,75,58,77,115,99,80,208,629,554,6851,2956,4225,5923,6566,111395,20742,32898,76922,72298,113131,33064,7189,5710,750776,39978,40832,24816,25361,37075,17485,565229,73959,40748,North Dakota,,,1620,836,789,544,551,1150,1937,1148,1381,640,521,41,49,57,69,56,70,94,156,138,602,380,504,598,745,2120,1237,1146,1963,1847,2591,1441,693,601,491,2130,2231,1780,1526,2313,1587,4208,1131,450
G390,2018-2022,OH,Ohio,0400000US39,39,Ohio,11774683,11774683,9281702,1449450,17094,283278,4037,157485,581637,190279,391358,8097704,85033,1573,1022,1417,2296,4722,3820,6757,14817,13118,80971,72615,121190,154863,132190,2315749,310108,560069,1040670,715379,1515763,696826,148249,98487,11472644,702310,824197,433569,460187,667018,306357,8079006,66990,37729,Ohio,,,5406,6587,1191,2804,650,4283,8923,5065,7502,1259,2555,287,302,298,503,624,535,724,1047,1086,2286,2124,2943,3661,3349,14472,4247,5963,9043,6684,10891,8478,3113,2456,2055,11274,12276,8974,8601,10396,6933,23999,272,162
G400,2018-2022,OK,Oklahoma,0400000US40,40,Oklahoma,3970497,3970497,2716667,284453,298628,91720,7313,124427,447289,118519,328770,2621275,33398,296,443,1052,1962,3855,2371,4803,17868,7792,24894,36698,47823,59360,47078,674369,132785,200847,391714,217129,465739,177413,42157,29429,3847702,270091,315900,182737,192170,277296,126810,2482698,61364,33630,Oklahoma,,,4336,2356,3170,1471,490,3364,5027,4318,4071,808,1288,90,113,236,356,451,293,678,982,636,1003,1391,1369,1571,1703,5479,2725,3073,4688,3282,4382,2754,1765,1286,1040,5507,5848,4039,4158,5970,4228,10179,451,250
